time,V_n,W_n,
0,0.301561176776886,0.10569539666175842,
0.001,0.3769291341304779,0.1781163215637207,
0.002,0.3769291341304779,0.1781163215637207,
0.002,0.45228222012519836,0.2699238061904907,
0.003,0.45228222012519836,0.2699238061904907,
0.003,0.5276174545288086,0.3808511197566986,
0.004,0.5276174545288086,0.3808511197566986,
0.004,0.6029318571090698,0.510604739189148,
0.004,0.6029318571090698,0.510604739189148,
0.005,0.6782224178314209,0.6588862538337708,
0.005,0.6782224178314209,0.6588862538337708,
0.006,0.7534862756729126,0.8253986239433289,
0.006,0.7534862756729126,0.8253986239433289,
0.007,0.7534862756729126,0.8253986239433289,
0.007,0.7534862756729126,0.8253986239433289,
0.007,0.8287203311920166,1.0098479986190796,
0.008,0.8287203311920166,1.0098479986190796,
0.008,0.9039217233657837,1.2119441032409668,
0.008,0.9039217233657837,1.2119441032409668,
0.009,0.9039217233657837,1.2119441032409668,
0.009,0.9790873527526855,1.4314004182815552,
0.01,0.9790873527526855,1.4314004182815552,
0.01,1.0542144775390625,1.6679339408874512,
0.011,1.0542144775390625,1.6679339408874512,
0.011,1.1292998790740967,1.9212653636932373,
0.012,1.1292998790740967,1.9212653636932373,
0.012,1.2043406963348389,2.1911189556121826,
0.013,1.2043406963348389,2.1911189556121826,
0.013,1.2793338298797607,2.4772229194641113,
0.014,1.2793338298797607,2.4772229194641113,
0.014,1.3542766571044922,2.779308319091797,
0.015,1.3542766571044922,2.779308319091797,
0.015,1.4291659593582153,3.0971102714538574,
0.016,1.4291659593582153,3.0971102714538574,
0.016,1.5039987564086914,3.4303665161132812,
0.017,1.5039987564086914,3.4303665161132812,
0.017,1.5787723064422607,3.7788186073303223,
0.018,1.5787723064422607,3.7788186073303223,
0.018,1.653483510017395,4.142211437225342,
0.019,1.653483510017395,4.142211437225342,
0.019,1.7281293869018555,4.52029275894165,
0.02,1.7281293869018555,4.52029275894165,
0.02,1.8027071952819824,4.912813663482666,
0.021,1.8027071952819824,4.912813663482666,
0.021,1.877213716506958,5.319528102874756,
0.022,1.877213716506958,5.319528102874756,
0.022,1.951646089553833,5.740193843841553,
0.023,1.951646089553833,5.740193843841553,
0.023,2.026001453399658,6.1745710372924805,
0.024,2.026001453399658,6.1745710372924805,
0.024,2.1002769470214844,6.62242317199707,
0.025,2.1002769470214844,6.62242317199707,
0.025,2.174469470977783,7.083515644073486,
0.026,2.174469470977783,7.083515644073486,
0.026,2.2485759258270264,7.557618618011475,
0.027,2.2485759258270264,7.557618618011475,
0.027,2.3225936889648438,8.044503211975098,
0.028,2.3225936889648438,8.044503211975098,
0.028,2.396519660949707,8.543944358825684,
0.029,2.396519660949707,8.543944358825684,
0.029,2.470351219177246,9.055719375610352,
0.03,2.470351219177246,9.055719375610352,
0.03,2.5440850257873535,9.579608917236328,
0.031,2.5440850257873535,9.579608917236328,
0.031,2.617718458175659,10.115396499633789,
0.032,2.617718458175659,10.115396499633789,
0.032,2.691248655319214,10.662866592407227,
0.033,2.691248655319214,10.662866592407227,
0.033,2.7646725177764893,11.221807479858398,
0.034,2.7646725177764893,11.221807479858398,
0.034,2.837987184524536,11.792008399963379,
0.035,2.837987184524536,11.792008399963379,
0.035,2.9111900329589844,12.373265266418457,
0.036,2.9111900329589844,12.373265266418457,
0.036,2.9842777252197266,12.965370178222656,
0.037,2.9842777252197266,12.965370178222656,
0.037,3.0572476387023926,13.568124771118164,
0.038,3.0572476387023926,13.568124771118164,
0.038,3.130096912384033,14.181325912475586,
0.039,3.130096912384033,14.181325912475586,
0.039,3.202822685241699,14.804779052734375,
0.04,3.202822685241699,14.804779052734375,
0.04,3.275421619415283,15.438287734985352,
0.041,3.275421619415283,15.438287734985352,
0.041,3.347891330718994,16.0816593170166,
0.042,3.347891330718994,16.0816593170166,
0.042,3.420229434967041,16.734704971313477,
0.043,3.420229434967041,16.734704971313477,
0.043,3.492432117462158,17.39723777770996,
0.044,3.492432117462158,17.39723777770996,
0.044,3.5644969940185547,18.069067001342773,
0.045,3.5644969940185547,18.069067001342773,
0.045,3.6364212036132812,18.750011444091797,
0.046,3.6364212036132812,18.750011444091797,
0.046,3.7082014083862305,19.43988800048828,
0.047,3.7082014083862305,19.43988800048828,
0.047,3.7798357009887695,20.138521194458008,
0.048,3.7798357009887695,20.138521194458008,
0.048,3.85132098197937,20.84572982788086,
0.049,3.85132098197937,20.84572982788086,
0.049,3.9226536750793457,21.56134033203125,
0.05,3.9226536750793457,21.56134033203125,
0.05,3.9938316345214844,22.285179138183594,
0.051,3.9938316345214844,22.285179138183594,
0.051,4.064852237701416,23.017072677612305,
0.052,4.064852237701416,23.017072677612305,
0.052,4.135712146759033,23.756851196289062,
0.053,4.135712146759033,23.756851196289062,
0.053,4.206408500671387,24.504348754882812,
0.054,4.206408500671387,24.504348754882812,
0.054,4.276939392089844,25.259397506713867,
0.055,4.276939392089844,25.259397506713867,
0.055,4.347301006317139,26.021831512451172,
0.056,4.347301006317139,26.021831512451172,
0.056,4.417491436004639,26.79149055480957,
0.057,4.417491436004639,26.79149055480957,
0.057,4.487506866455078,27.568220138549805,
0.058,4.487506866455078,27.568220138549805,
0.058,4.557345390319824,28.351858139038086,
0.059,4.557345390319824,28.351858139038086,
