time,V_n,W_n,
81.078,0,0,
81.079,0,0,
81.08,0,0,
81.08,0,0,
81.081,0,0,
81.081,0,0,
81.082,0,0,
81.082,0,0,
81.083,0,0,
81.083,0,0,
81.084,0,0,
81.085,0,0,
81.085,0,0,
81.086,0,0,
81.086,0,0,
81.087,0,0,
81.088,0,0,
81.089,0,0,
81.089,0,0,
81.09,0,0,
81.09,0,0,
81.091,0,0,
81.091,0,0,
81.092,0,0,
81.092,0,0,
81.093,0,0,
81.093,0,0,
81.094,0,0,
81.094,0,0,
81.094,0,0,
81.095,0,0,
81.096,0,0,
81.096,0,0,
81.097,0,0,
81.097,0,0,
81.098,0,0,
81.098,0,0,
81.099,0,0,
81.099,0,0,
81.1,0,0,
81.1,0,0,
81.101,0,0,
81.102,0,0,
81.102,0,0,
81.102,0,0,
81.103,0,0,
81.103,0,0,
81.103,0,0,
81.104,0,0,
81.104,0,0,
81.105,0,0,
81.105,0,0,
81.106,0,0,
81.106,0,0,
81.107,0,0,
81.107,0,0,
81.107,0,0,
81.108,0,0,
81.108,0,0,
81.108,0,0,
81.109,0,0,
81.109,0,0,
81.109,0,0,
81.109,0,0,
81.11,0,0,
81.11,0,0,
81.111,0,0,
81.111,0,0,
81.112,0,0,
81.112,0,0,
81.113,0,0,
81.113,0,0,
81.114,0,0,
81.114,0,0,
81.115,0,0,
81.115,0,0,
81.116,0,0,
81.116,0,0,
81.117,0,0,
81.117,0,0,
81.118,0,0,
81.118,0,0,
81.119,0,0,
81.12,0,0,
81.12,0,0,
81.121,0,0,
81.121,0,0,
81.122,0,0,
81.122,0,0,
81.122,0,0,
81.123,0,0,
81.123,0,0,
81.124,0,0,
81.124,0,0,
81.125,0,0,
81.125,0,0,
81.126,0,0,
81.126,0,0,
81.127,0,0,
81.128,0,0,
81.128,0,0,
81.128,0,0,
81.129,0,0,
81.129,0,0,
81.13,0,0,
81.13,0,0,
81.131,0,0,
81.131,0,0,
81.132,0,0,
81.133,0,0,
81.133,0,0,
81.134,0,0,
81.134,0,0,
81.135,0,0,
81.135,0,0,
81.136,0,0,
81.136,0,0,
81.137,0,0,
81.137,0,0,
81.137,0,0,
81.138,0,0,
81.138,0,0,
81.139,0,0,
81.14,0,0,
81.14,0,0,
81.141,0,0,
81.141,0,0,
81.142,0,0,
81.142,0,0,
81.143,0,0,
81.143,0,0,
81.144,0,0,
81.144,0,0,
81.144,0,0,
81.145,0,0,
81.145,0,0,
81.146,0,0,
81.146,0,0,
81.147,0,0,
81.147,0,0,
81.148,0,0,
